882719339516669972 | 2021-09-01 20:11:30.673000 | test(485194231665786888) | Vipper#9675 | 
882719834075447357 | 2021-09-01 20:13:28.585000 | test(485194231665786888) | Przemekkk#2137 | v!play v!play https://www.youtube.com/watch?v=pmanD_s7G3U
882719849518878761 | 2021-09-01 20:13:32.267000 | test(485194231665786888) | Vipper#9675 | Połączono z kanałem głosowym 🎮gierki🎮
882719992989233152 | 2021-09-01 20:14:06.473000 | test(485194231665786888) | Przemekkk#2137 | v!play https://www.youtube.com/watch?v=pmanD_s7G3U
882720008168423426 | 2021-09-01 20:14:10.092000 | test(485194231665786888) | Vipper#9675 | Połączono z kanałem głosowym 🎮gierki🎮
882720033288106074 | 2021-09-01 20:14:16.081000 | test(485194231665786888) | Przemekkk#2137 | v!play https://www.youtube.com/watch?v=okg-KjO5ta0
882720038027657308 | 2021-09-01 20:14:17.211000 | test(485194231665786888) | Vipper#9675 | 
882720676606246972 | 2021-09-01 20:16:49.460000 | test(485194231665786888) | Przemekkk#2137 | v!play https://www.youtube.com/watch?v=pmanD_s7G3U
882720696604688404 | 2021-09-01 20:16:54.228000 | test(485194231665786888) | Vipper#9675 | Połączono z kanałem głosowym 🎮gierki🎮
882720714862518284 | 2021-09-01 20:16:58.581000 | test(485194231665786888) | Przemekkk#2137 | v!play https://www.youtube.com/watch?v=okg-KjO5ta0
882720719824359475 | 2021-09-01 20:16:59.764000 | test(485194231665786888) | Vipper#9675 | 
882721263863365774 | 2021-09-01 20:19:09.473000 | test(485194231665786888) | Przemekkk#2137 | v!play https://www.youtube.com/watch?v=2OWydjT-16o
882721277255774258 | 2021-09-01 20:19:12.666000 | test(485194231665786888) | Vipper#9675 | Połączono z kanałem głosowym 🎮gierki🎮
882721297208066100 | 2021-09-01 20:19:17.423000 | test(485194231665786888) | Przemekkk#2137 | v!play https://www.youtube.com/watch?v=pmanD_s7G3U
882721306418761769 | 2021-09-01 20:19:19.619000 | test(485194231665786888) | Vipper#9675 | 
